Scan#: 1	ScanningTime: ,00	#APsFound: 16	DB: 0.0	Date: Mon Jun 01 12:58:49 GMT+01:00 2015
37.9750627	23.7268501	-87	2412	04:18:d6:87:68:ec	City Zen Enter The WiFi
37.9750627	23.7268501	-92	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
Scan#: 5	ScanningTime: 3,68	#APsFound: 23	DB: 30.0	Date: Mon Jun 01 12:59:04 GMT+01:00 2015
37.9750532	23.7269073	-63	2437	04:18:d6:e7:35:a3	Desconocido
37.9750532	23.7269073	-90	2437	0a:18:d6:93:0e:05	Le Bjur
37.9750532	23.7269073	-86	2437	04:18:d6:93:0e:05	City Zen Enter The WiFi
37.9750532	23.7269073	-87	2462	24:a4:3c:99:ad:e3	Desconocido
37.9750532	23.7269073	-91	2457	d8:74:95:f3:9f:78	OTEf39f78
37.9750532	23.7269073	-96	2452	2a:a4:3c:ed:76:cb	AforAthensRoof
37.9750532	23.7269073	-92	2437	78:54:2e:f8:a4:48	nic
37.9750532	23.7269073	-84	2437	00:1d:aa:c4:22:c0	Centrale
37.9750532	23.7269073	-85	2412	2a:a4:3c:a3:62:37	Le Bjur
37.9750532	23.7269073	-85	2412	24:a4:3c:a3:62:37	City Zen Enter The WiFi
37.9750532	23.7269073	-90	2412	0a:18:d6:87:68:ec	Le Bjur
37.9750532	23.7269073	-92	2412	e8:94:f6:2f:4c:3e	Thisissparta!
37.9750532	23.7269073	-91	2442	4c:5e:0c:60:22:99	Intranet
37.9750532	23.7269073	-96	2472	54:22:f8:24:6a:08	conn-x246a08
37.9750532	23.7269073	-96	2462	54:22:f8:d4:f1:24	HOL_ZTE_4
37.9750532	23.7269073	-96	2462	00:24:50:12:47:40	Crestron
37.9750532	23.7269073	-91	2442	4e:5e:0c:60:22:99	Ydria Free Wifi
37.9750532	23.7269073	-93	2437	00:13:33:84:72:73	OTE4ace6a
37.9750532	23.7269073	-93	2412	54:22:f8:c6:0f:0c	Karyatis
37.9750532	23.7269073	-93	2472	54:22:f8:f0:14:f0	conn-xf014f0
37.9750532	23.7269073	-95	2462	6c:b0:ce:30:6a:4c	NETGEAR82
37.9750532	23.7269073	-96	2412	40:4a:03:04:ff:01	Crestron
37.9750532	23.7269073	-93	2472	54:22:f8:f0:14:f1	OTE WiFi Fon
Scan#: 6	ScanningTime: 3,84	#APsFound: 19	DB: 36.0	Date: Mon Jun 01 12:59:08 GMT+01:00 2015
37.9750302	23.7269793	-65	2437	04:18:d6:e7:35:a3	Desconocido
37.9750302	23.7269793	-93	2437	0a:18:d6:93:0e:05	Le Bjur
37.9750302	23.7269793	-89	2437	04:18:d6:93:0e:05	City Zen Enter The WiFi
37.9750302	23.7269793	-93	2462	24:a4:3c:99:ad:e3	Desconocido
37.9750302	23.7269793	-91	2452	2a:a4:3c:ed:76:cb	AforAthensRoof
37.9750302	23.7269793	-89	2437	78:54:2e:f8:a4:48	nic
